Country,Employment rate,Long-term unemployment rate,Personal earnings,Life expectancy,Life satisfaction,Employees working very long hours,Air pollution,Distance from Poznan (km)
Austria,72.0,1.3,53132.0,82.0,7.2,5.3,12.2,468.5
Belgium,65.0,2.3,54327.0,82.1,6.8,4.3,12.8,883.8
Czech Republic,74.0,0.6,29885.0,79.3,6.9,4.5,17.0,311.7
Denmark,74.0,0.9,58430.0,81.5,7.5,1.1,10.0,461.5
Estonia,74.0,1.2,30720.0,78.8,6.5,2.2,5.9,920.1
Finland,72.0,1.2,46230.0,82.1,7.9,3.6,5.5,993.3
France,65.0,2.9,45581.0,82.9,6.7,7.7,11.4,1098.7
Germany,77.0,1.2,53745.0,81.4,7.3,3.9,12.0,238.8
Greece,56.0,10.8,27207.0,81.7,5.8,4.5,14.5,1688.1
Hungary,70.0,1.2,25409.0,76.4,6.0,1.5,16.7,566.3
Iceland,78.0,0.7,67488.0,83.2,7.6,11.7,6.4,2562.8
Ireland,68.0,1.2,49474.0,82.8,7.0,4.7,7.8,1552.6
Italy,58.0,4.8,37769.0,83.6,6.5,3.3,15.9,1214.4
Latvia,72.0,2.2,29876.0,75.5,6.2,1.6,12.7,683.6
Lithuania,72.0,2.5,31811.0,76.4,6.4,1.0,10.5,606.9
Luxembourg,67.0,1.7,65854.0,82.7,7.4,2.8,10.0,815.7
Netherlands,78.0,0.9,58828.0,82.2,7.5,0.3,12.2,814.9
Norway,75.0,0.9,55780.0,83.0,7.3,1.4,6.7,917.2
Poland,69.0,0.6,32527.0,78.0,6.1,4.2,22.8,0.0
Portugal,69.0,2.3,28410.0,81.8,5.8,5.6,8.3,2513.0
Slovak Republic,68.0,3.0,23619.0,77.8,6.5,4.2,18.5,473.6
Slovenia,71.0,1.9,41445.0,81.6,6.5,5.6,17.0,727.4
Spain,62.0,5.0,37922.0,83.9,6.5,2.5,10.0,2055.5
Sweden,75.0,1.0,47020.0,83.2,7.3,0.9,5.8,773.1
Switzerland,80.0,1.7,64824.0,84.0,7.5,0.4,10.1,911.6
United Kingdom,75.0,0.9,47147.0,81.3,6.8,10.8,10.1,1170.1
